account_name,rep_name,product_name,Sum of amount,stage_name
Brown Inc,Priya Nair,API Access Tier,98900,Negotiation
Blake and Sons,Arjun Rao,Implementation Package,77300,Negotiation
Ramos PLC,Aditi Sharma,API Access Tier,75700,Qualification
Baker and Sons,Sneha Kapoor,API Access Tier,69800,Qualification
"Williams, Miller and Sandoval",Aditi Sharma,API Access Tier,68700,Negotiation
Powell PLC,Meera Iyer,API Access Tier,67800,Proposal Sent
"Johnson, Gonzalez and Santos",Rohan Verma,API Access Tier,66800,Proposal Sent
Cole LLC,Meera Iyer,API Access Tier,66600,Prospecting
Martin Group,Meera Iyer,API Access Tier,65800,Proposal Sent
"Campos, Vaughn and Marquez",Karan Malhotra,API Access Tier,65300,Qualification
"Brown, Jones and Johnson",Karan Malhotra,API Access Tier,65100,Negotiation
"Johnson, Gonzalez and Santos",Aditi Sharma,API Access Tier,64500,Prospecting
Davis Group,Rohan Verma,API Access Tier,64400,Prospecting
Donovan-Harris,Sneha Kapoor,API Access Tier,64200,Prospecting
Delacruz Group,Rohan Verma,API Access Tier,63400,Proposal Sent
"Hawkins, Cohen and Cameron",Meera Iyer,API Access Tier,62800,Qualification
"Young, Caldwell and Lewis",Priya Nair,API Access Tier,62800,Negotiation
Munoz-Roman,Aditi Sharma,API Access Tier,62400,Negotiation
"Garcia, Powell and Morgan",Arjun Rao,API Access Tier,62100,Qualification
"Hawkins, Cohen and Cameron",Meera Iyer,API Access Tier,61900,Prospecting
Ibarra-Suarez,Aditi Sharma,API Access Tier,61600,Qualification
Donovan-Harris,Meera Iyer,API Access Tier,61200,Qualification
Conner Group,Arjun Rao,API Access Tier,60400,Negotiation
Donovan-Harris,Priya Nair,API Access Tier,59500,Negotiation
"Lynch, Hernandez and Farmer",Meera Iyer,API Access Tier,59100,Qualification
Chapman Inc,Sneha Kapoor,API Access Tier,58800,Prospecting
Ramirez-Lewis,Aditi Sharma,API Access Tier,58700,Proposal Sent
White-Ford,Karan Malhotra,API Access Tier,57700,Proposal Sent
"Campos, Vaughn and Marquez",Karan Malhotra,API Access Tier,57600,Negotiation
Robinson-Bright,Sneha Kapoor,API Access Tier,57000,Prospecting
"Young, Caldwell and Lewis",Arjun Rao,API Access Tier,55900,Prospecting
"Kidd, Huff and Novak",Karan Malhotra,API Access Tier,55200,Proposal Sent
"Hawkins, Cohen and Cameron",Meera Iyer,API Access Tier,54500,Proposal Sent
Davis Inc,Vikram Singh,API Access Tier,53200,Qualification
"Johnston, Sanchez and Kennedy",Vikram Singh,API Access Tier,53000,Qualification
Barrera-Martin,Aditi Sharma,Implementation Package,52700,Proposal Sent
Ramirez-Lewis,Meera Iyer,Implementation Package,52100,Qualification
"Martinez, Nielsen and Miller",Aditi Sharma,Implementation Package,51900,Prospecting
Robinson-Bright,Sneha Kapoor,Implementation Package,51800,Qualification
